OrderID,OrderDate,Region,State,City,CustomerID,CustomerType,ProductCategory,ProductName,Quantity,UnitPrice,DiscountPercent,SalesChannel,Salesperson,GrossSales,DiscountAmount,NetSales
1001,2024-04-12,East,West Bengal,Mumbai,2160,Corporate,Furniture,Desk,4,1334,15,Online,Sneha,5336,800.4,4535.6
1002,2024-12-14,East,Tamil Nadu,Chennai,2330,Retail,Electronics,Laptop,6,32714,10,Online,Amit,196284,19628.4,176655.6
1003,2024-09-27,North,West Bengal,Mumbai,2332,Retail,Electronics,Printer,9,27898,5,Online,Priya,251082,12554.1,238527.9
1004,2024-04-16,South,Delhi,Chennai,2049,Retail,Office Supplies,Printer,5,34992,10,Offline,Priya,174960,17496.0,157464.0
1005,2024-03-12,South,Maharashtra,Kolkata,2522,Corporate,Furniture,Laptop,4,2913,15,Online,Rohit,11652,1747.8,9904.2
1006,2024-07-07,West,Delhi,Chennai,2491,Corporate,Electronics,Cabinet,8,10005,20,Online,Rohit,80040,16008.0,64032.0
1007,2024-01-21,South,Delhi,Bengaluru,2581,Corporate,Office Supplies,Router,9,37766,0,Offline,Sneha,339894,0.0,339894.0
1008,2024-04-12,North,Karnataka,Chennai,2271,Retail,Furniture,Printer,4,2605,10,Offline,Priya,10420,1042.0,9378.0
1009,2024-05-01,East,Karnataka,Delhi,2579,Corporate,Office Supplies,Cabinet,3,3068,5,Online,Amit,9204,460.2,8743.8
1010,2024-08-02,South,Karnataka,Chennai,2251,Retail,Electronics,Printer,8,42598,10,Offline,Neha,340784,34078.4,306705.6
1011,2024-11-26,West,Karnataka,Bengaluru,2559,Retail,Electronics,Laptop,5,49861,20,Offline,Amit,249305,49861.0,199444.0
1012,2024-03-28,South,West Bengal,Bengaluru,2089,Retail,Furniture,Router,2,38179,0,Offline,Amit,76358,0.0,76358.0
1013,2024-04-09,North,Tamil Nadu,Mumbai,2445,Retail,Office Supplies,Router,9,49885,10,Offline,Sneha,448965,44896.5,404068.5
1014,2024-12-25,West,Maharashtra,Kolkata,2331,Retail,Furniture,Cabinet,3,34060,20,Offline,Sneha,102180,20436.0,81744.0
1015,2024-05-31,South,Delhi,Chennai,2138,Retail,Electronics,Laptop,2,14695,5,Online,Arjun,29390,1469.5,27920.5
1016,2024-05-10,West,West Bengal,Mumbai,2356,Corporate,Electronics,Cabinet,1,47169,15,Online,Amit,47169,7075.35,40093.65
1017,2024-05-29,North,Maharashtra,Kolkata,2273,Retail,Office Supplies,Router,8,16262,5,Online,Amit,130096,6504.8,123591.2
1018,2024-11-04,East,West Bengal,Chennai,2018,Retail,Office Supplies,Router,3,41794,0,Online,Sneha,125382,0.0,125382.0
1019,2024-09-14,North,West Bengal,Delhi,2310,Corporate,Office Supplies,Desk,7,16398,5,Online,Sneha,114786,5739.3,109046.7
1020,2024-12-09,North,Delhi,Chennai,2153,Retail,Furniture,Cabinet,1,22077,5,Online,Arjun,22077,1103.85,20973.15
1021,2024-10-20,North,Tamil Nadu,Bengaluru,2389,Corporate,Office Supplies,Desk,1,1714,5,Online,Arjun,1714,85.7,1628.3
1022,2024-07-10,North,Karnataka,Bengaluru,2259,Corporate,Office Supplies,Laptop,9,21303,5,Offline,Rohit,191727,9586.35,182140.65
1023,2024-10-03,East,Tamil Nadu,Delhi,2570,Corporate,Electronics,Chair,8,48614,0,Online,Priya,388912,0.0,388912.0
1024,2024-06-09,East,Delhi,Mumbai,2124,Retail,Electronics,Printer,3,24198,20,Online,Amit,72594,14518.8,58075.2
1025,2024-11-09,West,Delhi,Kolkata,2353,Retail,Office Supplies,Desk,6,33480,10,Online,Amit,200880,20088.0,180792.0
1026,2024-01-22,South,Delhi,Chennai,2272,Corporate,Office Supplies,Printer,3,2158,15,Offline,Arjun,6474,971.1,5502.9
1027,2024-09-09,East,Maharashtra,Bengaluru,2244,Retail,Electronics,Monitor,4,12770,10,Online,Arjun,51080,5108.0,45972.0
1028,2024-08-23,East,Tamil Nadu,Mumbai,2449,Retail,Office Supplies,Laptop,1,47297,10,Online,Rohit,47297,4729.7,42567.3
1029,2024-12-10,South,Tamil Nadu,Delhi,2246,Corporate,Furniture,Chair,5,38292,15,Offline,Priya,191460,28719.0,162741.0
1030,2024-02-18,East,West Bengal,Bengaluru,2519,Corporate,Furniture,Monitor,1,46307,0,Online,Rohit,46307,0.0,46307.0
